cod_ibge,cod_mun6,nome_mun,ano,pop,casos
3550209,355020,São Miguel Arcanjo,2014,31825,3
3550308,355030,São Paulo,2014,11384211,34123
3550407,355040,São Pedro,2014,33928,1112
3550506,355050,São Pedro do Turvo,2014,7203,11
3550605,355060,São Roque,2014,79120,91
3550704,355070,São Sebastião,2014,76640,1712
3550803,355080,São Sebastião da Grama,2014,11654,7
3550902,355090,São Simão,2014,14159,3
3551009,355100,São Vicente,2014,334285,610
3551108,355110,Sarapuí,2014,9523,3
3551207,355120,Sarutaiá,2014,3669,0
3551306,355130,Sebastianópolis do Sul,2014,3086,12
3551405,355140,Serra Azul,2014,11783,7
3551504,355150,Serrana,2014,40685,52
3551603,355160,Serra Negra,2014,27652,40
3551702,355170,Sertãozinho,2014,116184,237
3551801,355180,Sete Barras,2014,12990,8
3551900,355190,Severínia,2014,15265,30
3552007,355200,Silveiras,2014,5951,1
3552106,355210,Socorro,2014,37963,11
3552205,355220,Sorocaba,2014,633400,450
3552304,355230,Sud Mennucci,2014,7440,17
3552403,355240,Sumaré,2014,254597,4755
3552502,355250,Suzano,2014,278296,45
3552551,355255,Suzanápolis,2014,3419,69
3552601,355260,Tabapuã,2014,11416,15
3552700,355270,Tabatinga,2014,14727,7
3552809,355280,Taboão da Serra,2014,255841,1215
3552908,355290,Taciba,2014,5914,2
3553005,355300,Taguaí,2014,11461,0
3553104,355310,Taiaçu,2014,5833,3
3553203,355320,Taiúva,2014,5832,2
3553302,355330,Tambaú,2014,22198,285
3553401,355340,Tanabi,2014,24625,228
3553500,355350,Tapiraí,2014,8043,2
3553609,355360,Tapiratiba,2014,12485,6
3553658,355365,Taquaral,2014,2743,1
3553708,355370,Taquaritinga,2014,53697,112
3553807,355380,Taquarituba,2014,23084,3
3553856,355385,Taquarivaí,2014,5684,1
3553906,355390,Tarabai,2014,6604,16
3553955,355395,Tarumã,2014,13609,154
3554003,355400,Tatuí,2014,113366,32
3554102,355410,Taubaté,2014,290512,9916
3554201,355420,Tejupá,2014,4616,3
3554300,355430,Teodoro Sampaio,2014,21706,22
3554409,355440,Terra Roxa,2014,8349,8
3554508,355450,Tietê,2014,37168,22
3554607,355460,Timburi,2014,2606,0
3554656,355465,Torre de Pedra,2014,2196,0
3554706,355470,Torrinha,2014,9306,24
3554755,355475,Trabiju,2014,1595,58
3554805,355480,Tremembé,2014,44471,995
3554904,355490,Três Fronteiras,2014,5909,8
3554953,355495,Tuiuti,2014,6247,4
